data,bairro,tipo,vitimas,vitimasfatais,latitude,longitude,local_cod,tipo_acidente_cod,ano,mes,dia,densidade_acidentes,pred_vitimas_2025
2024-01-01,VASCO DA GAMA,COLISÃO LATERAL,1.0,0.0,-8.011774,-34.919054,92,7,2025,1,1,30.0,1.0287144
2024-01-01,VASCO DA GAMA,COLISÃO,1.0,0.0,-8.011774,-34.919054,92,4,2025,1,1,30.0,1.1011659
2024-01-01,VASCO DA GAMA,COLISÃO,1.0,0.0,-8.011774,-34.919054,92,4,2025,1,1,30.0,1.1011659
2024-01-01,ARRUDA,COLISÃO,1.0,0.0,-8.0250816,-34.8913229,9,4,2025,1,1,69.0,1.0533375
2024-01-01,BOA VIAGEM,COLISÃO,1.0,0.0,-8.1235027,-34.9033955,13,4,2025,1,1,522.0,0.86260456
2024-01-02,AFOGADOS,COLISÃO LATERAL,1.0,0.0,-8.0755654,-34.9078066,1,7,2025,1,2,176.0,0.9907085
2024-01-02,BARRO,COLISÃO,1.0,0.0,-8.0953285,-34.950077,11,4,2025,1,2,33.0,1.0938164
2024-01-02,ESPINHEIRO,COLISÃO,1.0,0.0,-8.0428691,-34.8912789,41,4,2025,1,2,60.0,1.0365283
2024-01-02,AFOGADOS,COLISÃO LATERAL,1.0,0.0,-8.0755654,-34.9078066,1,7,2025,1,2,176.0,0.9907085
2024-01-02,IPUTINGA,COLISÃO,2.0,0.0,-8.0398236,-34.9373458,53,4,2025,1,2,135.0,1.1053833
2024-01-03,DERBY,ATROPELAMENTO DE PESSOA,1.0,0.0,-8.0577836,-34.8990371,35,1,2025,1,3,80.0,1.1169499
2024-01-03,JOANA BEZERRA,ATROPELAMENTO DE PESSOA,1.0,0.0,-8.0705869,-34.8983498,57,1,2025,1,3,69.0,1.1044277
2024-01-03,JOANA BEZERRA,CHOQUE,1.0,0.0,-8.0705869,-34.8983498,57,3,2025,1,3,69.0,1.0573918
2024-01-03,SAO JOSE,CHOQUE,0.0,0.0,-8.0703848,-34.8808162,82,3,2025,1,3,165.0,1.0268005
2024-01-03,MADALENA,COLISÃO LATERAL,1.0,0.0,-8.0537581,-34.9083686,61,7,2025,1,3,166.0,1.0470828
2024-01-03,ARRUDA,COLISÃO,1.0,0.0,-8.0250816,-34.8913229,9,4,2025,1,3,69.0,1.0522703
2024-01-03,IBURA,COLISÃO,1.0,0.0,-8.1223529,-34.9321458,47,4,2025,1,3,200.0,1.1225201
2024-01-03,ARRUDA,COLISÃO LATERAL,1.0,0.0,-8.0250816,-34.8913229,9,7,2025,1,3,69.0,0.94215393
2024-01-04,BOA VIAGEM,COLISÃO TRANSVERSAL,0.0,0.0,-8.1235027,-34.9033955,13,8,2025,1,4,522.0,0.80713886
2024-01-04,CAMPO GRANDE,ATROPELAMENTO DE ANIMAL,2.0,0.0,-8.0316256,-34.879409,24,0,2025,1,4,126.0,1.1032975
2024-01-04,IPUTINGA,COLISÃO LATERAL,1.0,0.0,-8.0398236,-34.9373458,53,7,2025,1,4,135.0,1.0566577
2024-01-04,TAMARINEIRA,COLISÃO TRASEIRA,0.0,0.0,-8.0324159,-34.9010191,85,9,2025,1,4,62.0,0.8882272
2024-01-04,IPUTINGA,COLISÃO LATERAL,2.0,0.0,-8.0398236,-34.9373458,53,7,2025,1,4,135.0,1.0566577
2024-01-04,VARZEA,COLISÃO TRASEIRA,1.0,0.0,-8.0450381,-34.9691733,91,9,2025,1,4,91.0,0.9637167
2024-01-04,AREIAS,COLISÃO LATERAL,1.0,0.0,-8.0941474,-34.9284115,8,7,2025,1,4,103.0,0.9872404
2024-01-04,CAXANGA,COLISÃO LATERAL,1.0,0.0,-8.0303613,-34.949151,27,7,2025,1,4,120.0,1.045375
2024-01-04,JOANA BEZERRA,ATROPELAMENTO DE PESSOA,1.0,0.0,-8.0705869,-34.8983498,57,1,2025,1,4,69.0,1.1039346
2024-01-04,SAO JOSE,COLISÃO,0.0,0.0,-8.0703848,-34.8808162,82,4,2025,1,4,165.0,1.0156456
2024-01-04,AFOGADOS,COLISÃO LATERAL,1.0,0.0,-8.0755654,-34.9078066,1,7,2025,1,4,176.0,0.99158984
2024-01-04,PINA,COLISÃO,1.0,0.0,-8.0963033,-34.8946884,71,4,2025,1,4,134.0,1.0242003
2024-01-04,SANTO AMARO,COLISÃO LATERAL,1.0,0.0,-8.0509304,-34.8814476,80,7,2025,1,4,267.0,1.0264691
2024-01-04,BOA VIAGEM,COLISÃO,2.0,0.0,-8.1235027,-34.9033955,13,4,2025,1,4,522.0,0.8656108
2024-01-05,IMBIRIBEIRA,TOMBAMENTO,1.0,0.0,-8.111234,-34.9124464,51,13,2025,1,5,302.0,1.1087805
2024-01-05,CASA AMARELA,COLISÃO,1.0,0.0,-8.0246343,-34.917753,25,4,2025,1,5,148.0,1.071414
2024-01-05,ARRUDA,COLISÃO,1.0,0.0,-8.0250816,-34.8913229,9,4,2025,1,5,69.0,1.051025
2024-01-05,IMBIRIBEIRA,COLISÃO LATERAL,1.0,0.0,-8.111234,-34.9124464,51,7,2025,1,5,302.0,1.061075
2024-01-05,JOANA BEZERRA,COLISÃO LATERAL,1.0,0.0,-8.0705869,-34.8983498,57,7,2025,1,5,69.0,0.9208852
2024-01-05,MADALENA,COLISÃO COM CICLISTA,1.0,0.0,-8.0537581,-34.9083686,61,5,2025,1,5,166.0,1.0609115
2024-01-05,SANTO AMARO,COLISÃO LATERAL,2.0,0.0,-8.0509304,-34.8814476,80,7,2025,1,5,267.0,1.02643
